"X1","X2","X3","X4","X5","cus_id"
"DU.BOIS.DE.LA.ROCHE","MCVITIES","CHIPS.AHOY","SNAPPY","JACOBS","4679726"
"FRUTOP","CHIPS.AHOY","FILIPINOS","PROALIMENTAR","DELIPICK.","4689635"
"BALCONI","CHIPS.AHOY","LA.BURGALESA","INSULAR","MARILAN","4719570"
"SABOROSA","FLORBÚ","GRAN.PAVESI","FILIPINOS","OREO","4779570"
"INSULAR","OREO","BAUDUCCO","LAMBERTZ","BAHLSEN","4899809"
"TRIUNFO","FLORBÚ","INSULAR","BELVITA","CHIPS.AHOY","5009580"
"CUETARA","LAMBERTZ","BALCONI","DAN.CAKE","CHIPS.AHOY","5119801"
"FLORBÚ","DAN.CAKE","BAHLSEN","NUTELLA","CHIPS.AHOY","5139925"
"DU.BOIS.DE.LA.ROCHE","CHIPS.AHOY","NUTELLA","DULCA","BAUDUCCO","5149765"
"CARR.S","CHIPS.AHOY","BAHLSEN","BELVITA","TRIUNFO","5149889"
"ARTIACH","DAN.CAKE","CHIPS.AHOY","FILIPINOS","TUC","5189621"
"NUTELLA","TRIUNFO","FLORBÚ","LAMBERTZ","OREO","5199595"
"SABOROSA","OREO","FILIPINOS","FRUTOP","BAHLSEN","5209899"
"LAMBERTZ","CUETARA","CHIPS.AHOY","BAHLSEN","DISNEY","5239934"
"NACIONAL","OREO","LA.BURGALESA","FRUTOP","DELIPICK.","5389896"
"OREO","SABOROSA","BAUDUCCO","BAHLSEN","FILIPINOS","5639825"
"GULLON","NACIONAL","OREO","SABOROSA","BAUDUCCO","5649867"
"DELIPICK.","FLORBÚ","FRUTOP","DISNEY","CHIPS.AHOY","5649957"
"FILIPINOS","NACIONAL","FLORBÚ","OREO","SABOROSA","5729916"
"FRUTOP","OREO","FILIPINOS","JACOBS","SABOROSA","5959780"
"FILIPINOS","NACIONAL","INSULAR","BAUDUCCO","OREO","5989664"
"CARR.S","FLORBÚ","CHIPS.AHOY","SNAPPY","BAUDUCCO","6039822"
"INSULAR","BALCONI","LAMBERTZ","OREO","DAN.CAKE","6079731"
"FLORBÚ","NUTELLA","LAMBERTZ","CHIPS.AHOY","FILIPINOS","6369940"
"OREO","BALCONI","BAUDUCCO","NUTELLA","BAHLSEN","6409834"
