cust_id,X1,X2,X3,X4,X5,revenue,avg_discount_rate,discount,profit,,total discount,total_profit
60179870,8.52,0.00,0.00,6.50,0.00,15.02,0.23,3.50,11.52,,,
60259886,2.17,0.00,0.00,0.00,0.00,2.17,0.17,0.36,1.80,,,
60309703,0.00,0.00,4.26,0.00,0.00,4.26,0.10,0.44,3.83,,,
60329807,0.00,0.00,0.00,4.33,0.00,4.33,0.19,0.83,3.51,,,
60329938,0.00,17.33,0.00,0.00,0.00,17.33,0.17,2.87,14.46,,,
60449806,0.00,0.00,0.00,4.33,0.00,4.33,0.16,0.70,3.63,,,
60549979,0.00,0.00,0.00,0.00,2.13,2.13,0.36,0.76,1.37,,,
60559643,0.00,6.39,0.00,0.00,0.00,6.39,0.10,0.65,5.74,,,
60589972,0.00,0.00,2.13,0.00,0.00,2.13,0.00,0.00,2.13,,,
60749585,0.00,0.00,0.00,8.67,0.00,8.67,0.24,2.09,6.58,,,
60829804,4.26,0.00,0.00,0.00,0.00,4.26,0.17,0.74,3.52,,,
60829822,0.00,2.17,0.00,0.00,0.00,2.17,0.17,0.37,1.79,,,
60889825,0.00,0.00,0.00,0.00,29.83,29.83,0.29,8.62,21.20,,,
60889832,0.00,30.33,0.00,0.00,0.00,30.33,0.35,10.61,19.72,,,
60969802,0.00,10.65,0.00,0.00,0.00,10.65,0.30,3.22,7.44,,,
61039683,0.00,0.00,0.00,8.67,0.00,8.67,0.29,2.55,6.11,,,
61069852,0.00,0.00,0.00,0.00,8.52,8.52,0.37,3.18,5.34,,,
61079972,0.00,15.16,0.00,0.00,0.00,15.16,0.24,3.65,11.52,,,
61109732,0.00,8.52,0.00,0.00,0.00,8.52,0.14,1.19,7.33,,,
61109941,0.00,10.65,0.00,0.00,0.00,10.65,0.10,1.06,9.60,,,
61309843,17.04,0.00,0.00,0.00,0.00,17.04,0.31,5.36,11.68,,,
61359967,0.00,0.00,0.00,0.00,14.91,14.91,0.30,4.48,10.44,,,
61449984,14.91,0.00,0.00,0.00,0.00,14.91,0.13,1.97,12.94,,,
61499780,0.00,0.00,0.00,0.00,4.26,4.26,0.27,1.16,3.10,,,
61609986,0.00,0.00,14.91,6.50,0.00,21.41,0.46,9.82,11.59,,,
61729988,2.17,0.00,0.00,0.00,0.00,2.17,0.26,0.57,1.60,,,
61759735,0.00,0.00,0.00,0.00,17.04,17.04,0.29,4.87,12.17,,,
61839894,17.33,0.00,0.00,0.00,0.00,17.33,0.31,5.31,12.02,,,
61959612,8.52,0.00,0.00,0.00,0.00,8.52,0.32,2.76,5.77,,,
61999562,0.00,0.00,0.00,2.13,0.00,2.13,0.11,0.23,1.90,,,
61999616,4.33,0.00,0.00,0.00,0.00,4.33,0.18,0.80,3.53,,,
62049733,0.00,0.00,0.00,0.00,6.50,6.50,0.45,2.96,3.54,,,
62129717,0.00,8.52,0.00,0.00,0.00,8.52,0.33,2.80,5.72,,,
62129758,0.00,2.13,0.00,0.00,0.00,2.13,0.33,0.70,1.43,,,
62179888,0.00,2.17,0.00,0.00,0.00,2.17,0.42,0.91,1.25,,,
62209651,0.00,8.52,0.00,0.00,0.00,8.52,0.05,0.44,8.09,,,
62369802,2.17,0.00,0.00,0.00,0.00,2.17,0.08,0.18,1.99,,,
62389829,0.00,0.00,0.00,4.26,0.00,4.26,0.35,1.51,2.75,,,
62409748,0.00,0.00,0.00,14.91,0.00,14.91,0.05,0.82,14.10,,,
62469946,0.00,0.00,0.00,0.00,6.50,6.50,0.34,2.22,4.28,,,
62479947,0.00,0.00,0.00,0.00,10.83,10.83,0.32,3.52,7.32,,,
62549981,0.00,8.52,0.00,0.00,0.00,8.52,0.27,2.30,6.23,,,
62599880,0.00,0.00,0.00,2.17,0.00,2.17,0.27,0.58,1.59,,,
62759768,0.00,0.00,0.00,0.00,2.13,2.13,0.04,0.09,2.04,,,
62909989,0.00,0.00,4.26,0.00,0.00,4.26,0.20,0.83,3.43,,,
62919778,0.00,0.00,4.26,0.00,0.00,4.26,0.14,0.59,3.67,,,
62959814,0.00,6.39,0.00,0.00,0.00,6.39,0.14,0.90,5.49,,,
62989950,0.00,0.00,0.00,0.00,4.26,4.26,0.27,1.17,3.09,,,
63019857,0.00,0.00,0.00,6.50,0.00,6.50,0.33,2.14,4.36,,,
63049872,0.00,0.00,0.00,4.26,0.00,4.26,0.16,0.66,3.60,,,
63149599,0.00,6.39,0.00,0.00,0.00,6.39,0.19,1.22,5.18,,,
63159673,0.00,0.00,0.00,2.13,0.00,2.13,0.30,0.64,1.49,,,
63179749,0.00,0.00,0.00,4.26,0.00,4.26,0.42,1.78,2.48,,,
63189976,0.00,4.26,0.00,0.00,0.00,4.26,0.35,1.48,2.78,,,
63319749,0.00,0.00,0.00,0.00,102.27,102.27,0.27,27.53,74.73,,,
63329930,0.00,0.00,6.50,0.00,0.00,6.50,0.27,1.78,4.71,,,
63359779,0.00,4.26,0.00,0.00,0.00,4.26,0.27,1.14,3.12,,,
63369805,0.00,6.50,0.00,0.00,0.00,6.50,0.34,2.24,4.26,,,
63399975,0.00,0.00,0.00,0.00,4.26,4.26,0.23,0.99,3.27,,,
63459902,0.00,0.00,2.13,0.00,0.00,2.13,0.24,0.50,1.63,,,
63459959,0.00,0.00,0.00,2.13,0.00,2.13,0.04,0.09,2.04,,,
63589910,0.00,0.00,0.00,4.26,0.00,4.26,0.25,1.07,3.19,,,
63599623,17.33,0.00,0.00,0.00,0.00,17.33,0.27,4.73,12.60,,,
